organism,ec,lineage
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.5.3,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.17.1.8,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.17.4.1,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.17.4.2,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.18.6.1,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.2.1.11,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.2.1.16,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.2.1.20,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.2.1.38,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.2.1.41,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.2.1.59,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.2.1.79,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.2.7.1,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.2.7.3,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.2.7.7,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.2.7.8,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.2.99.5,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.3.1.101,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.3.1.12,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.3.1.14,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.3.99.34,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.4.1.21,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.4.1.24,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.5.1.2,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.5.1.20,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.5.1.5,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.6.3.3,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.6.5.3,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.7.99.1,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.8.1.9,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.8.4.11,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.8.4.12,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.8.4.8,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.8.98.1,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.97.1.4,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.-,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.107,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.13,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.130,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.131,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.132,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.133,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.148,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.151,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.163,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.166,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.182,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.195,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.201,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.206,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.213,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.215,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.216,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.219,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.220,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.228,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.245,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.246,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.248,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.249,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.250,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.257,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.258,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.260,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.271,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.314,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,2.1.1.37,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
